N|RUC|PROVEEDOR|MODALIDAD|DEPARTAMENTO|PROVINCIA|DISTRITO|UBIGEO|DOMICILIO LEGAL|EMAIL|TELEFONO|ESTADOS CONTRATOS|FECHA ACTUALIZACION
11|20608432028|INDUSTRIAS ALIMENTARIAS SALINAS S.A.C.|PRODUCTOS|LA LIBERTAD|TRUJILLO|TRUJILLO|130101|"LA LIBERTAD / TRUJILLO / TRUJILLO - CENTRO POBLADO TRUJILLO - URBANIZACIÓN LA RINCONADA - CALLE LOS CEDROS Mza 50 Lote 01 "|INDUSTRIAS.SALINASCORP@GMAIL.COM|966 690 090|ACTIVO|8/02/2024
12|20533650351|CONSORCIO GRUPO DYH|PRODUCTOS|ANCASH|HUARAZ|HUARAZ|020101|CENTRO POBLADO HUARUPAMPA - CENTRO POBLADO CONO ALUVIONICO OESTE - PASAJE MIRAFLORES (MERCADILLO) N° 132, en el distrito de HUARAZ, provincia de HUARAZ, departamento de ANCASH|DYHZARZOSASRL@GMAIL.COM|922989387|ACTIVO|8/02/2024
13|10460012606|CONSORCIO PILLCO MOZO|PRODUCTOS|HUANUCO|HUANUCO|AMARILIS|100102|CENTRO POBLADO LLICUA BAJA - PASAJE LIMA MZA A LOTE 01, en el distrito de AMARILIS, provincia de HUANUCO, departamento de HUANUCO|DAVIDALLPAS19@HOTMAIL.COM|980631946|ACTIVO|8/02/2024
14|20531929471|CONSORCIO SANVEL|PRODUCTOS|ANCASH|SANTA|NUEVO CHIMBOTE|021809|CALLE 5, LOTE 5A MZ.D URB. HABILITACION URBANA PARCELA N° 03 SECTOR LOS ALAMOS, en el distrito de NUEVO CHIMBOTE, provincia de SANTA, departamento de ANCASH|SANVELQW@GMAIL.COM|952075471|ACTIVO|8/02/2024
15|20611118881|CONSORCIO GRUPO GABRIEL E HIJOS|PRODUCTOS|ANCASH|SANTA|NUEVO CHIMBOTE|021809|URBANIZACIÓN NICOLAS GARATEA - AVENIDA AGRARIA MZA 20 LOTE 50, en el distrito de NUEVO CHIMBOTE, provincia de SANTA, departamento de ANCASH|CAPITALWJJ2024@GMAIL.COM|932516012|ACTIVO|8/02/2024
16|20611059401|CONSORCIO MILAN|PRODUCTOS|APURIMAC|ANDAHUAYLAS|ANDAHUAYLAS|030201|AVENIDA SANTA CRUZ N° 409, en el distrito de ANDAHUAYLAS, provincia de ANDAHUAYLAS, departamento de APURIMAC|COMPANIADEALIMENTOSEMEDMSAC@GMAIL.COM|83201047|ACTIVO|8/02/2024
17|20611606991|CONSORCIO ALTAS CUMBRES|PRODUCTOS|APURIMAC|APURIMAC|TALAVERA|030216|JIRON CAJAMARCA N° 148, en el distrito de TALAVERA, provincia de ANDAHUAYLAS, departamento de APURIMAC|ALTASCUMBRESAPURIMACSAC@GMAIL.COM|983991090|ACTIVO|8/02/2024
18|20527726990|CONSORCIO MAV|PRODUCTOS|APURIMAC|ANDAHUAYLAS|TALAVERA|030216|JIRON APURIMAC N° 460, en el distrito de TALAVERA, provincia de ANDAHUAYLAS, departamento de APURIMAC,|INDALIT_EIRL@HOTMAIL.COM|83424005|ACTIVO|8/02/2024
19|10405214470|CONSORCIO ROLIT|PRODUCTOS|APURIMAC|ANDAHUAYLAS|ANDAHUAYLAS|030201|JIRON ALFONSO UGARTE N° 271, en el distrito de ANDAHUAYLAS, provincia de ANDAHUAYLAS, departamento de APURIMAC|COMSERV.LYR@GMAIL.COM|983601003|ACTIVO|8/02/2024
20|20491001241|CONSORCIO VIRGEN DE LA CANDELARIA|PRODUCTOS|APURIMAC|ABANCAY|TAMBURCO|030109|CENTRO POBLADO TAMBURCO - URBANIZACIÓN URBANIZACION JUAN PABLO II - AVENIDA JUAN PABLO II MZA D LOTE 19, en el distrito de TAMBURCO, provincia de ABANCAY, departamento de APURIMAC|GRUPOCOVA@GMAIL.COM|938232306|ACTIVO|8/02/2024
21|20609109531|CONSORCIO CUATRO ESTACIONES|PRODUCTOS|APURIMAC|ABANCAY|TAMBURCO|030109|AVENIDA TORIBIA GONZALES HOYOS N° 200, en el distrito de TAMBURCO, provincia de ABANCAY, departamento de APURIMAC|CUATROESTACIONES2022@GMAIL.COM|943449177|ACTIVO|8/02/2024
22|20611014334|CONSORCIO RENACER|PRODUCTOS|APURIMAC|ABANCAY|ABANCAY|030101|AVENIDA LAS MALVINAS N° S/N, en el distrito de ABANCAY, provincia de ABANCAY, departamento de APURIMAC|GRUPOINDUVALLE@GMAIL.COM|965753899|ACTIVO|8/02/2024
23|20601093163|TAMBO GRANDE S.A.C|PRODUCTOS|APURIMAC|ABANCAY|TAMBURCO|030109|APURIMAC / ABANCAY / TAMBURCO - AVENIDA NESTOR PEÑA N° 399|ADMINISTRACION@TAMBOGRANDE.PE|943619636|ACTIVO|8/02/2024
24|10308615044|IVETTE KATHERINE VERA AMAO|PRODUCTOS|AREQUIPA|AREQUIPA|PAUCARPATA|040112|AREQUIPA / AREQUIPA / PAUCARPATA - URBANIZACIÓN JORGE CHAVEZ - AVENIDA LIBERTAD N° 516|IVETTEVERAA@HOTMAIL.COM|54463163|ACTIVO|8/02/2024
25|20602573312|CORPORACION UP SOCIEDAD ANONIMA CERRADA -CORPORACION UP SAC|PRODUCTOS|AREQUIPA|AREQUIPA|ALTO SELVA ALEGRE|040102|AREQUIPA / AREQUIPA / ALTO SELVA ALEGRE - COOPERATIVA ANDRES AVELINO CACERES - CALLE 4 Mza M Lote 12|CORPORACION.UP.SAC@GMAIL.COM|54268867|ACTIVO|8/02/2024
26|20454568207|ALIMENTO PROCESADO INSTANTANEO S.A.C|PRODUCTOS|AREQUIPA|AREQUIPA|MARIANO MELGAR|040109|AREQUIPA / AREQUIPA / MARIANO MELGAR - PUEBLO JOVEN JOSE DE SAN MARTIN - CALLE NICOLAS DE PIEROLA N° 832|LOGISTICA@ALPROIN.COM|454163|ACTIVO|8/02/2024
27|20602684645|CONSORCIO ALIMENTOS OROPESA|PRODUCTOS|AYACUCHO|HUANTA|HUANTA|050401|JIRON SALVADOR CAVERO N° 465, en el distrito de HUANTA, provincia de HUANTA, departamento de AYACUCHO|WARPAA220@GMAIL.COM|999935083|ACTIVO|8/02/2024
28|20574608652|CONSORCIO SAN ANTONIO DE PADUA|PRODUCTOS|AYACUCHO|HUAMANGA|SAN JUAN BAUTISTA|050110|CENTRO POBLADO SAN MELCHOR - OTROS (ESPECIFICAR) BARRIO - AVENIDA JAVIER HERAUD N° 945, en el distrito de SAN JUAN BAUTISTA, provincia de HUAMANGA, departamento de AYACUCHO,|CIBERIA03@GMAIL.COM|66639043|ACTIVO|8/02/2024
29|20609695537|CONSORCIO ALIMENTARIO SUMACC MIKUY|PRODUCTOS|LIMA|LIMA|PUENTE PIEDRA|150125|URBANIZACIÓN SHANGRILA - CALLE LOS NOGALES N° 131, en el distrito de PUENTE PIEDRA, provincia de LIMA, departamento de LIMA,|MIKUYALINUT@GMAIL.COM|930898609|ACTIVO|8/02/2024
30|10407087378|CONSORCIO COPSA|PRODUCTOS|AYACUCHO|HUAMANGA|AYACUCHO|050101|CENTRO POBLADO AYACUCHO - ASOCIACIÓN UNSCH - OTROS LA MARINA BLOCK 0 INTERIOR 0 MZA G LOTE 02 SECTOR 0, en el distrito de AYACUCHO, provincia de HUAMANGA, departamento de AYACUCHO|LMAGALLANESORE@GMAIL.COM|966003407|ACTIVO|8/02/2024
31|10283088419|CONSORCIO KILLA|PRODUCTOS|AYACUCHO|HUAMANGA|QUINUA|050108|JIRON LA MAR LOTE S/N, en el distrito de QUINUA, provincia de HUAMANGA, departamento de AYACUCHO|"SUMAQELI@HOTMAIL.COM"|950899577|ACTIVO|8/02/2024
32|20600639359|CONSORCIO J Y C|PRODUCTOS|AYACUCHO|HUANTA|LLOCHEGUA|050408|CENTRO POBLADO LLOCHEGUA - URBANIZACIÓN LLOCHEGUA - AVENIDA HUANTA N° S/N, en el distrito de LLOCHEGUA, provincia de HUANTA, departamento de AYACUCHO|JYCMEDINASAC@GMAIL.COM|66284814|ACTIVO|8/02/2024
33|20610887059|CALHUA S.A.C.|PRODUCTOS|AYACUCHO|HUANTA|HUANTA|050401|AYACUCHO / HUANTA / HUANTA - JIRON LA MAR N° 289|CALHUASAC@GMAIL.COM|999935083|ACTIVO|8/02/2024
34|20609102081|CONSORCIO DE ALIMENTOS SAN MELCHOR|PRODUCTOS|AYACUCHO|HUAMANGA|SAN JUAN BAUTISTA|050110|CENTRO POBLADO SAN MELCHOR - JIRON LOS GERANIOS N° 215, en el distrito de SAN JUAN BAUTISTA, provincia de HUAMANGA, departamento de AYACUCHO|INDUSTRIADEALIMENTOS1AYM@GMAIL.COM|966731910|ACTIVO|8/02/2024
35|20603362196|CONSORCIO AYACUCHO|PRODUCTOS|LIMA|LIMA|SAN MIGUEL|150136|CALLE ANDRES RAZURI N° 240 DPTO. 502, en el distrito de AYACUCHO, provincia de HUAMANGA, departamento de AYACUCHO|INVERSIONESCEISMA@GMAIL.COM|966154001|ACTIVO|8/02/2024
36|10706535671|CONSORCIO S & R|PRODUCTOS|AYACUCHO|HUAMANGA|JESUS NAZARENO|050115|JIRON GERVACIO ALVAREZ N° 282, en el distrito de JESUS NAZARENO, provincia de HUAMANGA, departamento de AYACUCHO|SAMKIFOODEIRL@HOTMAIL.COM|966961937|ACTIVO|8/02/2024
37|20602777279|CONSORCIO LOS ANDES|PRODUCTOS|APURIMAC|ABANCAY|TAMBURCO|030109|CENTRO POBLADO KERAPATA - CENTRO POBLADO SN , en el distrito de TAMBURCO, provincia de ABANCAY, departamento de APURIMAC|POTREROOSAC@GMAIL.COM|982006919|ACTIVO|8/02/2024
38|20605639268|ALIMENTOS NUTRIPLUS D & J E.I.R.L.|PRODUCTOS|AYACUCHO|HUAMANGA|AYACUCHO|050101|AYACUCHO / HUAMANGA / AYACUCHO - ASENTAMIENTO HUMANO COVADONGA Mza A2 Lote 10|DANIEL05101975@GMAIL.COM|999933008|ACTIVO|8/02/2024
39|20602575803|MULTISERVICIOS Y AGROINDUSTRIAS INTI S.A.C.|PRODUCTOS|AYACUCHO|HUAMANGA|SAN JUAN BAUTISTA|050110|AYACUCHO / HUAMANGA / SAN JUAN BAUTISTA - COOPERATIVA LAS AMERICAS - AVENIDA LAS MALVINAS Mza J Lote 11|MULTISERVICIOSINTISAC@GMAIL.COM|999588025|ACTIVO|8/02/2024
40|20610869077|CONSORCIO EL REJO|PRODUCTOS|CAJAMARCA|CAJAMARCA|CAJAMARCA|060101|MZ A LOTE S/N - EL TRIUNFO, en el distrito de NAMORA, provincia de CAJAMARCA, departamento de CAJAMARCA|RSCORDELEIRL@GMAIL.COM|927277040|ACTIVO|8/02/2024
41|20610869077|CONSORCIO CASA BLANCA|PRODUCTOS|CAJAMARCA|CAJAMARCA|CAJAMARCA|060101|MZ A CASERIO CASA BLANCA, en el distrito de NAMORA, provincia de CAJAMARCA, departamento de CAJAMARCA|RSCORDELEIRL@GMAIL.COM|927277040|ACTIVO|8/02/2024
42|20601737362|CONSORCIO PADRE ETERNO|PRODUCTOS|CAJAMARCA|CAJAMARCA|CAJAMARCA|060101|JIRON MARIANO MELGAR N° 419, en el distrito de CAJAMARCA, provincia de CAJAMARCA, departamento de CAJAMARCA|PADRE.ETERNO092@GMAIL.COM|982033454|ACTIVO|8/02/2024
43|20609989361|CONSORCIO D Y S|PRODUCTOS|CAJAMARCA|CAJAMARCA|CAJAMARCA|060101|MZ. C-40 CENTRO POBLADO OTUZCO, en el distrito de LOS BAÑOS DEL INCA, provincia de CAJAMARCA, departamento de CAJAMARCA,|JLHUAMANL12@GMAIL.COM|972082768|ACTIVO|8/02/2024
44|20611326859|CONSORCIO CYM|PRODUCTOS|CAJAMARCA|CAJAMARCA|CAJAMARCA|060101|CAJAMARCA / CAJAMARCA / CAJAMARCA - ASOCIACIÓN JULIO CESAR TELLO ET 2 - CALLE MARISCAL ANDRES AVELINO CACERES N° 1563|CYMLOGISTICSEIRL@GMAIL.COM|963331331|ACTIVO|8/02/2024
45|20607422622|INVERSIONES IDROVA E.I.R.L.|PRODUCTOS|CAJAMARCA|CAJAMARCA|CAJAMARCA|060101|CAJAMARCA / CAJAMARCA / CAJAMARCA - OTROS (especificar) LOTIZACION VALLE HUACARIZ - AVENIDA VIA DE EVITAMIENTO SUR N° 2703|INVERSIONES.IDROVA@GMAIL.COM|942378750|ACTIVO|8/02/2024
46|20495997651|CONSORCIO SIERRA NORTE|PRODUCTOS|CAJAMARCA|CAJAMARCA|CAJAMARCA|060101|PROL. LA PAZ 409 SEC. N° 23 - PACCHA, en el distrito de CAJAMARCA, provincia de CAJAMARCA, departamento de CAJAMARCA|CMPLBACHOTA@GMAIL.COM|966029270|ACTIVO|8/02/2024
47|20610676929|CONSORCIO KUNTUR WASSI|PRODUCTOS|CAJAMARCA|CAJAMARCA|CAJAMARCA|060101|AVENIDA PROLONGACION MARIO URTEAGA N° 477, en el distrito de CAJAMARCA, provincia de CAJAMARCA, departamento de CAJAMARCA|DVITAQALIEIRL@GMAIL.COM|955664257|ACTIVO|8/02/2024
48|20611373415|CONSORCIO NTPUMASAC|PRODUCTOS|LA LIBERTAD|TRUJILLO|MOCHE|130107|URBANIZACIÓN EL BOSQUE - CALLE DIEGO QUISPE TITO N° 951, en el distrito de MOCHE, provincia de TRUJILLO, departamento de LA LIBERTAD| LOGISTICAISRAEL757@GMAIL.COM|939376769|ACTIVO|8/02/2024
49|20609882728|CONSORCIO MILAGROS DE JESUS|PRODUCTOS|CAJAMARCA|CAJAMARCA|CAJAMARCA|060101|AVENIDA HEROES DEL CENEPA N° 2355, en el distrito de CAJAMARCA, provincia de CAJAMARCA, departamento de CAJAMARCA|MIJESAC.2023@GMAIL.COM|949123647|ACTIVO|8/02/2024
50|20610458964|CONSORCIO VICTORIO|PRODUCTOS|CAJAMARCA|JAEN|JAEN|060801|URBANIZACIÓN LA MOLINA - CALLE MARIANO MELGAR N° 305, en el distrito de JAEN, provincia de JAEN, departamento de CAJAMARCA|GERENCIA@GRUPOVASQUEZ.COM.PE|979811677|ACTIVO|8/02/2024
51|20610719113|CONSORCIO D&M|PRODUCTOS|CAJAMARCA|CAJAMARCA|CAJAMARCA|060101|LOTIZACION VALLE HUACARIZ - AVENIDA VIA DE EVITAMIENTO SUR N° 2703, en el distrito de CAJAMARCA, provincia de CAJAMARCA|CORPORACIONFM.SANANTONIO@GMAIL.COM|942378750|ACTIVO|8/02/2024
52|20610458964|CONSORCIO PARQUE INDUSTRIAL|PRODUCTOS|CAJAMARCA|JAEN|JAEN|060801|URBANIZACIÓN LA MOLINA - CALLE MARIANO MELGAR N° 305, en el distrito de JAEN, provincia de JAEN, departamento de CAJAMARCA|GERENCIA@GRUPOVASQUEZ.COM.PE|979811677|ACTIVO|8/02/2024
53|20480099568|CONSORCIO JD ALMACENES|PRODUCTOS|CAJAMARCA|JAEN|JAEN|060801|AVENIDA PAKAMUROS N° S/N KM 20 SECTOR PUEBLO LIBRE, en el distrito de JAEN, provincia de JAEN, departamento de CAJAMARCA|SANJUAN2022@WCSANJUANALMACENES.COM|76785652|ACTIVO|8/02/2024
54|20610724010|CONSORCIO SANTA ROSA|PRODUCTOS|CAJAMARCA|JAEN|JAEN|060801|URBANIZACIÓN SAN FRANCISCO - CALLE SAN FRANCISCO N° 302, en el distrito de JAEN, provincia de JAEN, departamento de CAJAMARCA|RS-INVERSIONES@HOTMAIL.COM|976993067|ACTIVO|8/02/2024
55|20611126311|CONSORCIO ELIMAR|PRODUCTOS|CAJAMARCA|JAEN|JAEN|060801|CALLE LAS ALMENDRAS N° 111-SECTOR LAS ALMENDRAS-JAEN, en el distrito de JAEN, provincia de JAEN, departamento de CAJAMARCA|SAULOINVERSIONESS@GMAIL.COM|962932037|ACTIVO|8/02/2024
56|20480099568|W & C SAN JUAN ALMACENES S.A.C.|PRODUCTOS|CAJAMARCA|JAEN|JAEN|060801|CAJAMARCA / JAEN / JAEN - OTROS (especificar) SN - AVENIDA PAKAMUROS N° S/N Km 20 Sector PUEBLO LIBRE|SANJUAN2022@WCSANJUANALMACENES.COM|76785652|ACTIVO|8/02/2024
57|10729668295|CONSORCIO LA FRONTERA|PRODUCTOS|CAJAMARCA|SAN IGNACIO|SAN IGNACIO|060901|SECTOR PUEBLO JOVEN, en el distrito de SAN IGNACIO, provincia de SAN IGNACIO, departamento de CAJAMARCA|RIJA.GUERO@GMAIL.COM|925452798|ACTIVO|8/02/2024
58|20605076018|CONSORCIO HORUS|PRODUCTOS|CUSCO|ANTA|PUCYURA|080308|LOTIZACION EL BOSQUE MZA. A, LOTE 4, en el distrito de PUCYURA, provincia de ANTA, departamento de CUSCO,|CSERNA@CORPALEN.COM|942063839|ACTIVO|8/02/2024
59|20610075798|CONSORCIO INCAWALK|PRODUCTOS|LORETO|MAYNAS|PUNCHANA|160108|CALLE CAHUIDE Nº 589 P.J. MANUEL CLAVERO , en el distrito de PUNCHANA, provincia de MAYNAS, departamento de LORETO|GRUPOINCAWALK@GMAIL.COM|084 652759|ACTIVO|8/02/2024
60|20611363789|CONSORCIO IMPERIAL|PRODUCTOS|CUSCO|CANCHIS|SICUANI|080601|URBANIZACIÓN SAN ISIDRO - JIRON VICTOR RAUL HAYA DE LA TORRE N° 227, en el distrito de SICUANI, provincia de CANCHIS, departamento de CUSCO|SEBDYANAMQ@GMAIL.COM|948271673|ACTIVO|8/02/2024
61|20602607012|CONSORCIO PROANDI|PRODUCTOS|CUSCO|ANTA|PUCYURA|080308|TANCARPAMPA EL BOSQUE MZ F LOTE 04 , en el distrito de PUCYURA, provincia de ANTA, departamento de CUSCO|AGROINDUSTRIATAMBOPATAQW@GMAIL.COM|945772400|ACTIVO|8/02/2024
62|20600838220|CASA BLANCA CALVO CANAHUIRE SOCIEDAD ANONIMA CERRADA|PRODUCTOS|CUSCO|CANCHIS|SICUANI|080601|CUSCO / CANCHIS / SICUANI - AVENIDA Confederación N° 345|GRUPOCASABLANCACC@GMAIL.COM|987720590|ACTIVO|8/02/2024
63|20600131231|CONSORCIO CUSCO ALIMENTOS|PRODUCTOS|CUSCO|CUSCO|SAN SEBASTIAN|080105|APV. VILLA ANDINA MZA E LOTE 27, en el distrito de SAN SEBASTIAN, provincia de CUSCO, departamento de CUSCO|VENTAS@ALIMENTOSANDINOS.COM.PE|084-600459|ACTIVO|8/02/2024
64|20611449233|CONSORCIO WINAY 2024|PRODUCTOS|CUSCO|CUSCO|SAN JERÓNIMO|080104|URBANIZACIÓN LOS JARDINES - AVENIDA LOS JARDINES N° S/N, en el distrito de SAN JERONIMO, provincia de CUSCO, departamento de CUSCO|WINAY.INNOVA@GMAIL.COM|952715736|ACTIVO|8/02/2024
65|20486369001|CONSORCIO PROALFA|PRODUCTOS|JUNIN|HUANCAYO|CHILCA|120107|JIRON GARCILAZO DE LA VEGA N° 275, en el distrito de CHILCA, provincia de HUANCAYO, departamento de JUNIN|HUGO.ROMERO@PROALFA.PE|64218700|ACTIVO|8/02/2024
66|20601725054|CONSORCIO NEGODAI|PRODUCTOS|JUNIN|HUANCAYO|CHILCA|120107|JIRON GRAU 122 - AZAPAMPA, en el distrito de CHILCA, provincia de HUANCAYO, departamento de JUNIN|INVERSIONESAYHSRL@GMAIL.COM|948572962|ACTIVO|8/02/2024
67|20610505326|CONSORCIO ALONSO|PRODUCTOS|LIMA|LIMA|PUENTE PIEDRA|150125|CALLE LOS NOGALES Nº 142 URB. SHANGRILA, en el distrito de PUENTE PIEDRA, provincia de LIMA, departamento de LIMA|ALIMENTOSNUTRITIVOS.ALONSO@GMAIL.COM|939 796 008|ACTIVO|8/02/2024
68|20362583650|CONSORCIO OLIVAS|PRODUCTOS|HUANUCO|HUANUCO|AMARILIS|100102|JIRON TUPAC YUPANQUI N° 115 CENT. PAUCARBAMBA, en el distrito de AMARILIS, provincia de HUANUCO, departamento de HUANUCO|FSANFRANCISCOEIRL@GMAIL.COM|969892648|ACTIVO|8/02/2024
69|20601594383|CONSORCIO NAZARENO|PRODUCTOS|HUANUCO|HUANUCO|AMARILIS|100102|CENTRO POBLADO LLICUA BAJA - URBANIZACIÓN SANTA MARIA DEL HUALLAGA - BLOQUE SANTA MARIA DEL HUALLAGA LOTE 10, en el distrito de AMARILIS, provincia de HUANUCO, departamento de HUANUCO|DISTRIBUCIONESBRYLAT@HOTMAIL.COM|984247654|ACTIVO|8/02/2024
70|10404207429|CONSORCIO EL TREBOL|PRODUCTOS|PASCO|OXAPAMPA|VILLA RICA|190307|URB. SANTA ELENA MZA. B LOTE. 6 , en el distrito de AMARILIS, provincia de HUANUCO, departamento de HUANUCO|LELYQUISPE1979@GMAIL.COM|975467028|ACTIVO|8/02/2024
71|20529067179|"INVERSIONES FORTIFOODS EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA"|PRODUCTOS|HUANUCO|HUANUCO|AMARILIS|100102|HUANUCO / HUANUCO / AMARILIS - URBANIZACIÓN SANTA MARIA DEL HUALLAGA - BLOQUE SANTA MARIA DEL HUALLAGA Lote 10|INVERSIONESFORTIFOODS@HOTMAIL.COM|984247654|ACTIVO|8/02/2024
72|20529067179|INVERSIONES FORTIFOODS EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA|PRODUCTOS|HUANUCO|HUANUCO|AMARILIS|100102|HUANUCO / HUANUCO / AMARILIS - URBANIZACIÓN SANTA MARIA DEL HUALLAGA - BLOQUE SANTA MARIA DEL HUALLAGA Lote 10|INVERSIONESFORTIFOODS@HOTMAIL.COM|984247654|ACTIVO|8/02/2024
73|20608105051|CONSORCIO EL VALLE|PRODUCTOS|HUANUCO|HUANUCO|AMARILIS|100102|URBANIZACIÓN FONAVI I - OTROS CAL OCHO Mza F LOTE 01, en el distrito de AMARILIS, provincia de HUANUCO, departamento de HUANUCO|AGROINDUSTRIASKAIROSSSAC@GMAIL.COM|931966880|ACTIVO|8/02/2024
74|20606298120|CONSORCIO OBED|PRODUCTOS|HUANUCO|LEONCIO PRADO|JOSE CRESPO Y CASTILLO|100604|AV. NICOLAS DE PIEROLA MZA. 86 LOTE. 1 SEC. SAN JUAN HUANUCO - LEONCIO PRADO - JOSE CRESPO Y CASTILLO, en el distrito de JOSE CRESPO Y CASTILLO, provincia de LEONCIO PRADO, departamento de HUANUCO|OBEDPC2024@GMAIL.COM|910033910|ACTIVO|8/02/2024
75|20602607012|CONSORCIO ANGHELY|PRODUCTOS|MADRE DE DIOS|TAMBOPATA|TAMBOPATA|170101|JIRON HUALLAGA N° SN (200MT DEL PUENTE TOMAYQUICHUA), en el distrito de TOMAY KICHWA, provincia de AMBO, departamento de HUANUCO|"AGROINDUSTRIATAMBOPATAQW@GMAIL.COM"|945772400|ACTIVO|8/02/2024
76|10800238051|CONSORCIO LA DESPENSA|PRODUCTOS|HUANUCO|HUANUCO|AMARILIS|100102|CARRETERA CENTRAL MZA A LOTE 2 SECTOR LLICUA , en el distrito de AMARILIS, provincia de HUANUCO, departamento de HUANUCO|DIANAALLPAS@GMAIL.COM|990553065|ACTIVO|8/02/2024
77|10475892769|CONSORCIO IZAM|PRODUCTOS|ICA|CHINCHA|CHINCHA ALTA|110201|CALLE ANTONIO DE ZELA N° 106, en el distrito de CHINCHA ALTA, provincia de CHINCHA, departamento de ICA|TASAYCOJHUNIOR@GMAIL.COM|989825127|ACTIVO|8/02/2024
78|20562679058|CONSORCIO R&L|PRODUCTOS|LIMA|LIMA|SANTA ANITA|150137|URBANIZACIÓN EL ASESOR I - CALLE SALVADOR DALI MZA H1 LOTE 10, en el distrito de SANTA ANITA, provincia de LIMA, departamento de LIMA|SGKLOGISTICA@GMAIL.COM|3546607|ACTIVO|8/02/2024
79|20611014334|CONSORCIO GRUPO TASAYCO|PRODUCTOS|APURIMAC|ABANCAY|ABANCAY|030101|AVENIDA LAS MALVINAS N° S/N, en el distrito de ABANCAY, provincia de ABANCAY, departamento de APURIMAC|GRUPOINDUVALLE@GMAIL.COM|965753899|ACTIVO|8/02/2024
